"read_num","time","abs","enzyme","abs_corr"
21,60,0.0718,"Library A",0.92496
21,70,0.0916,"Library A",1.48332
21,85,0.1828,"Library A",4.05516
21,94,0.2168,"Library A",5.01396
22,0,0.0368,"Library A",-0.06204
22,27,0.0407,"Library A",0.04794
22,38,0.0419,"Library A",0.08178
22,43,0.0426,"Library A",0.10152
22,50,0.044,"Library A",0.141
22,60,0.0665,"Library A",0.7755
22,70,0.0883,"Library A",1.39026
22,85,0.1758,"Library A",3.85776
22,94,0.204,"Library A",4.653
23,0,0.037,"Library A",-0.0564
23,27,0.0405,"Library A",0.0423
23,38,0.042,"Library A",0.0846000000000001
23,43,0.0426,"Library A",0.10152
23,50,0.0439,"Library A",0.13818
23,60,0.072,"Library A",0.9306
23,70,0.0923,"Library A",1.50306
23,85,0.172,"Library A",3.7506
23,94,0.2059,"Library A",4.70658
24,0,0.037,"Library A",-0.0564
24,27,0.0405,"Library A",0.0423
24,38,0.0416,"Library A",0.0733199999999999
24,43,0.0424,"Library A",0.09588
24,50,0.0437,"Library A",0.13254
24,60,0.0752,"Library A",1.02084
24,70,0.0906,"Library A",1.45512
24,85,0.181,"Library A",4.0044
24,94,0.2151,"Library A",4.96602
25,0,0.0374,"Library A",-0.0451199999999999
25,27,0.0408,"Library A",0.0507600000000001
25,38,0.0422,"Library A",0.09024
25,43,0.0426,"Library A",0.10152
25,50,0.0453,"Library A",0.17766
25,60,0.0729,"Library A",0.95598
25,70,0.0963,"Library A",1.61586
25,85,0.1941,"Library A",4.37382
25,94,0.2285,"Library A",5.3439
26,0,0.0374,"Library A",-0.0451199999999999
26,27,0.0409,"Library A",0.05358
26,38,0.0418,"Library A",0.0789599999999999
26,43,0.0426,"Library A",0.10152
26,50,0.045,"Library A",0.1692
26,60,0.0721,"Library A",0.93342
26,70,0.0921,"Library A",1.49742
26,85,0.1852,"Library A",4.12284
26,94,0.2175,"Library A",5.0337
27,0,0.0371,"Library A",-0.05358
27,27,0.0411,"Library A",0.0592199999999999
27,38,0.0427,"Library A",0.10434
27,43,0.043,"Library A",0.1128
27,50,0.0445,"Library A",0.1551
27,60,0.0701,"Library A",0.87702
27,70,0.0904,"Library A",1.44948
27,85,0.1849,"Library A",4.11438
27,94,0.2287,"Library A",5.34954
28,0,0.0373,"Library A",-0.04794
28,27,0.0411,"Library A",0.0592199999999999
28,38,0.042,"Library A",0.0846000000000001
28,43,0.0427,"Library A",0.10434
28,50,0.0444,"Library A",0.15228
28,60,0.0738,"Library A",0.98136
28,70,0.0926,"Library A",1.51152
28,85,0.1796,"Library A",3.96492
28,94,0.221,"Library A",5.1324
29,0,0.0373,"Library A",-0.04794
29,27,0.0407,"Library A",0.04794
